CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
pH,NA,8.35,None,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,784,uS/cm,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Total dissolved solids,Total,749,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,1.77,None,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,2,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,156,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1923,uS/cm,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,72.7,mg/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,11,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,15,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,NA,NA,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,82.8,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.37,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,210,mg/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.99,None,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Total Recoverable,0.912,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,774,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
