CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
Bicarbonate,Total,387,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.31,None,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.6,None,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1478,uS/cm,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,14.84,meq/L,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.64,None,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,2.95,%,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Sodium,Total Recoverable,46.1,%,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.89,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,1540,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,24.83,meq/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,118,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,4.95,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,100,mg/L,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Carbonate,Total,NA,NA,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Sum of cations,Total,15.88,meq/L,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,140,mg/L,4/17/2012,2012,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.28,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,771,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.55,None,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1352,uS/cm,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,84.8,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,25.29,meq/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,14.08,meq/L,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,2100,uS/cm,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.67,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Carbonate,Total,15,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,384,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,71,mg/L,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.66,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,9.1,None,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,74.2,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,116,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,1.155,meq/L,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1426,uS/cm,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.21,None,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.21,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.476,mg/L,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,67.6,mg/L,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Aluminum,Total Recoverable,187,ug/L,5/30/2012,2012,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,782,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,25.66,meq/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,2.188,meq/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,13.21,meq/L,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,89.3,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,34.3,%,4/17/2012,2012,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,299,mg/L,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Total dissolved solids,Total,1040,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1225,uS/cm,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.68,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,1052,uS/cm,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,NA,NA,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,386,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,9.1,None,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,595,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Total dissolved solids,Total,836,mg/L,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1126,uS/cm,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,782,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,2101,uS/cm,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.6,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,76.5,mg/L,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.3,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,85.8,mg/L,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,Total,8.42,None,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,Total,8.44,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.133,mg/L,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.127,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,338,mg/L,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1581,uS/cm,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.64,None,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.16,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.52,None,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.16,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.466,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,NA,NA,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.77,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Magnesium,Total Recoverable,62,mg/L,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.65,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.37,None,10/3/2012,2012,10,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,1701,uS/cm,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.28,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,5.16,None,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,142,ug/L,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Sulfate,Dissolved,686,mg/L,10/3/2012,2012,10,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,766,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
"Alkalinity, total",Total,327,mg/L,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,NA,NA,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1350,umho/cm,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.66,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.83,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.45,None,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,2102,uS/cm,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1227,uS/cm,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.59,None,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,1.79,%,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1052,uS/cm,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.32,None,4/17/2012,2012,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.23,None,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.2,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,782,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.3,None,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,2102,uS/cm,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1215,uS/cm,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,2119,uS/cm,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,34,%,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Total dissolved solids,Total,1110,mg/L,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Zinc,Total Recoverable,NA,NA,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,33.3,%,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1331,uS/cm,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,769,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Zinc,Total Recoverable,NA,NA,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Total Recoverable,2.25,mg/L,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,461,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1330,umho/cm,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Manganese,Total Recoverable,0.44,mg/L,5/30/2012,2012,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.26,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.77,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.28,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,274,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,30.4,%,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.69,None,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,295,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,767,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Iron,Total Recoverable,NA,NA,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.46,None,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Total Recoverable,NA,NA,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.2,None,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,350,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.59,None,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.38,meq/L,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,-0.98,%,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,779,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,17.33,meq/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.43,None,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.6,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,15.78,meq/L,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.28,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,3.09,%,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,220,mg/L,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,341,mg/L,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,344,mg/L,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.68,None,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,70,ug/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,342,mg/L,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.78,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Chloride,Dissolved,28,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.58,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sum of cations,Total,15.95,meq/L,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.64,None,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.29,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,776,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Zinc,Total Recoverable,NA,NA,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.27,None,7/25/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.59,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.49,None,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.69,None,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Calcium,Total Recoverable,86.2,mg/L,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,319,mg/L,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Sodium,Total Recoverable,48.9,%,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.03,None,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,2111,uS/cm,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.171,meq/L,10/3/2012,2012,10,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
"Hardness, carbonate",Total,485,mg/L,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,88.1,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,603,mg/L,10/3/2012,2012,10,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
"Hardness, carbonate",Total,580,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,43.8,%,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1469,uS/cm,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,69,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Total Recoverable,NA,NA,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,2119,uS/cm,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,1713,uS/cm,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,307,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,1231,uS/cm,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,1.344,meq/L,5/30/2012,2012,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Total dissolved solids,Total,1460,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.68,None,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1265,uS/cm,5/30/2012,2012,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
"Hardness, carbonate",Total,494,mg/L,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Aluminum,Total Recoverable,NA,NA,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,75.3,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.73,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.37,None,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.67,None,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.441,meq/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,NA,NA,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,275,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,3.59,None,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.6,None,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,14.55,meq/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,3.73,None,8/22/2012,2012,8,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Selenium,Total Recoverable,NA,NA,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.51,meq/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,5.42,ug/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.8,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Carbonate,Total,18,mg/L,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Zinc,Total Recoverable,NA,NA,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.22,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,2101,uS/cm,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Carbonate,Total,14,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,776,uS/cm,9/13/2012,2012,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Manganese,Total Recoverable,0.623,mg/L,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.11,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,8.51,None,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.26,None,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,104,mg/L,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,7.91,None,3/12/2012,2012,3,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Carbonate,Total,NA,NA,4/17/2012,2012,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,1102,uS/cm,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,365,mg/L,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1348,uS/cm,7/5/2012,2012,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,761,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Iron,Total Recoverable,0.313,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,284,mg/L,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,0.97,%,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1479,uS/cm,4/17/2012,2012,4,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,8.58,None,8/20/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,116,mg/L,9/25/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1240,umho/cm,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,764,uS/cm,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.85,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sulfate,Dissolved,258,mg/L,5/24/2012,2012,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.58,None,6/27/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.11,None,5/30/2012,2012,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Specific conductance,NA,1101,uS/cm,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1098,uS/cm,6/6/2012,2012,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,48.9,%,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.76,None,8/14/2012,2012,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Cations-Anions,Total,0.34,%,10/3/2012,2012,10,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
pH,NA,9.13,None,8/9/2012,2012,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,3.47,%,7/11/2012,2012,7,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Magnesium,Total Recoverable,61.5,mg/L,5/30/2012,2012,5,21NDHDWQ_WQX-380007,Sheyenne River - Lisbon
Total dissolved solids,Total,1460,mg/L,9/14/2012,2012,9,21NDHDWQ_WQX-381171,Lake Ashtabula
